日付,匿名番号,理解度,わかったこと・気づき,質問・モヤモヤ
2026-09-07,S01,4,変化の割合はyの増えた量をxの増えた量でわる。表をたてに見るとわかりやすかった,
2026-09-07,S02,2,計算のやり方はうつせたけど なぜわり算するのかがわからない,どうしてxの増えた量でわるんですか
2026-09-07,S03,4,前の比例と似ていて表のきまりを見つけるのがおもしろかった,
2026-09-07,S04,4,友だちと表をうめたら早くできた,
2026-09-07,S05,3,やり方はわかったけどテストで出たらできるか心配,テストにはどんな形で出ますか
2026-09-07,S06,3,変化の割合をやった,
2026-09-07,S07,2,途中から何をしているのかわからなくなった,最初からもう一回ききたい
2026-09-07,S08,3,表のx=0のところが気になった,x=0のときも変化の割合は同じですか
2026-09-07,S09,5,わかった,
2026-09-07,S10,3,ノートに表を書き直したら少しわかった,
2026-09-08,S01,4,切片から書いて傾きのぶんだけななめに進むとグラフが書ける。家で3問練習した,
2026-09-08,S02,2,グラフの線は引けたけど 目もりの取り方で答えが変わる気がする,目もりのはばはどう決めるんですか
2026-09-08,S03,4,グラフがまっすぐになるのが気持ちよかった,
2026-09-08,S04,4,方眼のマス目を数えるのが得意かもしれない,
2026-09-08,S05,3,グラフは書けたけどテストが近いと思うときんちょうする,
2026-09-08,S06,3,グラフをかいた,
2026-09-08,S07,2,点は打てるけど どの点とどの点を結ぶのかまよう,
2026-09-08,S08,4,傾きがマイナスだと右下がりになる理由が知りたい,マイナスの傾きはなぜ右下がりになるんですか
2026-09-08,S09,5,かんたんだった,
2026-09-08,S10,3,となりの人に教えてもらって1問できた,
2026-09-09,S01,5,式を見ただけでグラフの形が想像できるようになった,
2026-09-09,S02,3,切片はy軸とぶつかるところ。傾きの分数の意味が今日わかった,
2026-09-09,S03,2,今日はあまりわからなかった,
2026-09-09,S04,4,式とグラフがつながった感じがする,
2026-09-09,S05,2,傾きと変化の割合が同じと言われて頭がこんがらがった,傾きと変化の割合は本当に同じものですか
2026-09-09,S06,3,傾きをやった,
2026-09-09,S07,3,グラフで見たら傾きの意味が急にわかった。もっと問題をやりたい,
2026-09-09,S08,4,切片が分数のときのグラフの書き方を考えた,切片が分数のときはどうかきますか
2026-09-09,S09,5,わかった,
2026-09-09,S10,3,傾きの数え方をノートにまとめた,
2026-09-10,S01,4,2点から式を求めるのは連立方程式と同じだとわかった,
2026-09-10,S02,3,代入のところで符号をまちがえやすい。見直しのしかたを自分で決めた,
2026-09-10,S03,1,とくにないです,
2026-09-10,S04,3,今日はむずかしかったけど最後の問題はできた,
2026-09-10,S05,2,式を求める問題が入試に出ると聞いて不安になった,どの型の問題から練習すればいいですか
2026-09-10,S06,3,式をもとめた,
2026-09-10,S07,4,昨日傾きがわかったから今日はスラスラできた,
2026-09-10,S08,4,グラフから読む方法と計算で出す方法のどちらが速いか比べた,
2026-09-10,S09,5,かんたん,
2026-09-10,S10,2,代入が2回出てきてこんがらがった,もう一回れんしゅうしたい
2026-09-11,S01,5,水そうの問題は表→グラフ→式の順で考えるとできる,
2026-09-11,S02,3,文章のどの数が傾きになるのかを見つけるコツがわかってきた,
2026-09-11,S03,1,,
2026-09-11,S04,4,水そうの問題が身近でおもしろかった,
2026-09-11,S05,3,文章題はこわいけど今日のはできた。少し安心した,
2026-09-11,S06,3,文章題をやった,
2026-09-11,S07,5,先に答えの見通しを立ててから解いたら合っていた。友だちにも教えられた,
2026-09-11,S08,4,料金プランの問題を自分でも作れそう,自分で問題を作ってもいいですか
2026-09-11,S09,5,わかった,
2026-09-11,S10,3,グラフに書きこんだら文章題でもできた,
