タイムスタンプ,匿名番号,今日の理解度,今日わかったこと・気づき,今日の学び方,質問・モヤモヤ
2026/08/31 14:46:04,S01,3,武家諸法度で大名を取りしまっていたことがわかった,前に習ったことと結びつけた,
2026/08/31 14:42:09,S02,3,幕府と藩で全国を治めるしくみが幕藩体制だとわかった,前に習ったことと結びつけた,今日の内容は現在の沖縄とつながりがありますか
2026/08/31 14:43:48,S03,4,外様大名が江戸から遠くに置かれた理由がわかった,前に習ったことと結びつけた,
2026/08/31 14:40:51,S04,2,武家諸法度で大名を取りしまっていたことがわかったけど自分で説明はまだできない,ノートに自分でまとめ直した,図で整理するプリントがほしいです
2026/08/31 14:51:17,S05,3,外様大名が江戸から遠くに置かれた理由がわかった,友だちと話して考えた,
2026/08/31 14:44:56,S06,2,幕府と藩で全国を治めるしくみが幕藩体制だとわかった,先生に質問した,
2026/08/31 14:52:42,S07,4,外様大名が江戸から遠くに置かれた理由がわかった,ノートに自分でまとめ直した,
2026/08/31 14:43:11,S08,3,幕府と藩で全国を治めるしくみが幕藩体制だとわかった,ノートに自分でまとめ直した,
2026/08/31 14:46:34,S09,3,江戸幕府の成立と大名統制をやった,どれもしていない,
2026/08/31 14:41:45,S10,4,外様大名が江戸から遠くに置かれた理由がわかった,友だちと話して考えた,
2026/08/31 14:50:28,S11,3,将軍と大名の主従関係が土地のやりとりでできていると知った,友だちと話して考えた,
2026/08/31 14:51:16,S12,4,武家諸法度で大名を取りしまっていたことがわかった,友だちと話して考えた,
2026/08/31 14:50:56,S13,3,武家諸法度で大名を取りしまっていたことがわかった,ノートに自分でまとめ直した,
2026/08/31 14:44:29,S14,4,幕府と藩で全国を治めるしくみが幕藩体制だとわかった,資料集・地図で調べた、友だちと話して考えた,
2026/08/31 14:51:08,S15,4,わかった,どれもしていない,
2026/08/31 14:42:08,S16,4,武家諸法度で大名を取りしまっていたことがわかった,友だちと話して考えた,
2026/08/31 14:42:52,S17,4,外様大名が江戸から遠くに置かれた理由がわかった,ノートに自分でまとめ直した,
2026/08/31 14:44:24,S18,5,武家諸法度で大名を取りしまっていたことがわかった,資料集・地図で調べた,
2026/08/31 14:42:51,S19,3,幕府と藩で全国を治めるしくみが幕藩体制だとわかった,ノートに自分でまとめ直した,
2026/08/31 14:39:25,S20,3,武家諸法度で大名を取りしまっていたことがわかった,資料集・地図で調べた,
2026/08/31 14:49:28,S21,3,幕府と藩で全国を治めるしくみが幕藩体制だとわかった,先生に質問した,
2026/08/31 14:47:49,S22,3,将軍と大名の主従関係が土地のやりとりでできていると知った,ノートに自分でまとめ直した,
2026/08/31 14:47:02,S23,3,何となくわかった,どれもしていない,
2026/08/31 14:40:27,S24,3,外様大名が江戸から遠くに置かれた理由がわかった,資料集・地図で調べた,
